"BehaviorSpace results (NetLogo 6.2.0)"
"business-investor-model-senseRange.nlogo"
"experiment"
"06/19/2021 09:16:33:852 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","sensing-radius","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles","ticks"
"9","0","12","52983.41880000001","65407.137312693514","12"
"1","0","45","98653.9196","121591.70806096664","45"
"10","0","12","57571.99279999999","58122.74582797825","12"
"12","1","4","44753.24440000001","21768.935365064575","4"
"9","0","13","58177.702800000014","70639.97876112786","13"
"11","1","9","82131.99240000003","61428.087614115706","9"
"10","0","13","60082.9692","64785.17198061227","13"
"13","1","3","35611.8384","22676.84166245465","3"
"1","0","46","102910.0856","124133.82726374445","46"
"12","1","5","54431.405600000006","28735.388893864692","5"
"9","0","14","60373.22040000001","76899.22706700025","14"
"11","1","10","90653.48760000002","69135.69141199422","10"
"10","0","14","56092.3048","62162.05178948308","14"
"1","0","47","106061.64760000001","127545.54771632637","47"
"9","0","15","65567.50439999998","82114.66711956618","15"
"12","1","6","66000.95320000002","33171.68845610864","6"
"11","1","11","101726.3616","74544.57176681672","11"
"10","0","15","61779.21400000002","65319.09251235681","15"
"1","0","48","110317.81359999998","130117.11694955455","48"
"13","1","4","46723.75","29714.037387201635","4"
"9","0","16","68428.76479999999","88872.94085960594","16"
"12","1","7","77570.5008","37735.64624794317","7"
"10","0","16","63252.20839999999","70110.46819564042","16"
"11","1","12","108909.1572","84330.38344522538","12"
"1","0","49","114573.9796","132715.80943111103","49"
"9","0","17","70093.4884","95173.69990491969","17"
"13","1","5","59576.9796","35124.54938715697","5"
"10","0","17","68939.1176","73473.174631593","17"
"12","1","8","81202.2544","48473.86945051152","8"
"11","1","13","113234.0484","95836.92984693994","13"
"9","0","18","63476.474799999996","102652.08531934455","18"
"10","0","18","72144.026","78467.99902137746","18"
"13","1","6","64982.0348","46641.97926882294","6"
"12","1","9","92609.4716","52408.59891786252","9"
"9","0","19","61968.08959999999","109351.6771243173","19"
"10","0","19","77830.9352","82045.22703692029","19"
"11","1","14","124268.34039999997","101522.68532386157","14"
"13","1","7","77835.26439999999","51841.012411889926","7"
"9","0","20","45082.806","100924.93792841662","20"
"12","1","10","103054.21720000001","57730.71735425472","10"
"10","0","20","83517.84440000002","85700.5320984513","20"
"11","1","15","135302.63239999997","107290.6475849409","15"
"14","1","0","0","0","0"
"9","0","21","49597.4208","105202.54694259165","21"
"10","0","21","88120.40600000002","90368.0610548287","21"
"12","1","11","114017.46239999999","61719.4301461578","11"
"13","1","8","90160.85960000001","56908.41055708934","8"
"11","1","16","142967.1496","116266.05821548359","16"
"9","0","22","54064.416799999985","109650.413285704","22"
"10","0","22","91454.6232","95993.50067551542","22"
"13","1","9","102347.87399999997","62313.85695269546","9"
"12","1","12","124253.82440000001","67281.37398918242","12"
"14","1","1","10743.657999999998","7108.352991811229","1"
"11","1","17","143418.89400000003","123458.38021094879","17"
"9","0","23","58337.40000000001","114285.17033705926","23"
"10","0","23","92049.33560000002","103018.99499210302","23"
"9","0","24","62161.888","119225.75945105476","24"
"10","0","24","92388.42800000003","110330.3328321132","24"
"13","1","10","113738.87","66510.48350607569","10"
"12","1","13","135262.47360000006","71520.01515701205","13"
"11","1","18","153490.3932","129888.82117188859","18"
"14","1","2","23475.413600000003","13969.159440400272","2"
"9","0","25","67356.172","123619.19159041246","25"
"10","0","25","98075.33720000002","114111.86201401886","25"
"12","1","14","146271.1228","75875.56214796608","14"
"13","1","11","114151.2896","76879.5462680174","11"
"11","1","19","164322.5148","135270.90643810772","19"
"9","0","26","66895.9992","129995.03450847276","26"
"14","1","3","35603.464800000016","22401.940181265574","3"
"10","0","26","103112.29400000004","118483.25336588403","26"
"12","1","15","148950.4752","88974.73989094065","15"
"9","0","27","71072.70719999999","134975.51083977005","27"
"13","1","12","122050.25439999999","84319.02699788609","12"
"11","1","20","171719.89159999997","144051.08950794567","20"
"10","0","27","108532.21880000003","122572.04832517522","27"
"9","0","28","73515.97799999999","140526.1365608361","28"
"14","1","4","44677.86840000001","29061.3587327723","4"
"12","1","16","159384.52839999998","93042.84297795071","16"
"11","1","21","182648.31639999998","149607.97241149427","21"
"10","0","28","104875.56440000002","126569.59660056613","28"
"13","1","13","129443.62439999997","92044.23216867239","13"
"9","0","29","71036.9928","147106.12082814705","29"
"10","0","29","110562.47360000007","129754.97218967287","29"
"11","1","22","193576.74120000002","155233.06841351217","22"
"12","1","17","165191.61719999998","102373.20131208617","17"
"9","0","30","70563.35280000001","151854.62488438946","30"
"14","1","5","52565.37239999999","37433.86591677696","5"
"13","1","14","139692.04039999994","97529.86294141533","14"
"9","0","31","69041.53319999999","157615.2564332677","31"
"10","0","30","116249.38280000005","133010.57230743923","30"
"11","1","23","191665.28839999996","164013.514439787","23"
"12","1","18","175429.0752","106523.80903386995","18"
"14","1","6","61377.124","44040.88539026937","6"
"9","0","32","73584.99119999999","162341.66929383288","32"
"10","0","31","120148.08840000004","137759.46420471632","31"
"13","1","15","150573.48320000002","102128.07379712393","15"
"11","1","24","202593.71319999997","169360.8232070536","24"
"12","1","19","184243.95880000002","112983.49538285093","19"
"10","0","32","125834.99760000006","141128.21865111153","32"
"14","1","7","66619.20000000001","52205.44558545458","7"
"11","1","25","204188.7204","181211.72826975066","25"
"12","1","20","194387.0236","117391.39137293641","20"
"10","0","33","131503.8028","144570.3960907058","33"
"11","1","26","207594.2644","193149.85742319177","26"
"14","1","8","80453.6684","56570.76403149038","8"
"10","0","34","137190.71200000003","148048.12910016775","34"
"12","1","21","204530.0884","121872.21552526731","21"
"11","1","27","216484.48319999996","200299.48428173346","27"
"10","0","35","142371.66040000002","152047.8183696419","35"
"14","1","9","80523.52600000001","63016.46537012694","9"
"12","1","22","213606.22239999997","128171.38595761695","22"
"11","1","28","227412.90799999997","205505.27486576824","28"
"10","0","36","141977.23480000003","158409.42107005013","36"
"11","1","29","236444.40639999998","212632.42666399354","29"
"14","1","10","93640.03439999999","65170.32854704779","10"
"12","1","23","219010.22119999994","137667.04406699093","23"
"10","0","37","147354.33040000004","162270.30552179177","37"
"11","1","30","247064.87639999992","218137.68634704174","30"
"12","1","24","228994.422","141920.1525501349","24"
"10","0","38","153041.23960000003","165888.08523313535","38"
"14","1","11","102066.50840000002","70989.7611471635","11"
"11","1","31","257685.34639999998","223709.56726760356","31"
"10","0","39","158728.14880000005","169543.59646944288","39"
"12","1","25","238651.5464","145908.97655985097","25"
"14","1","12","115183.01679999998","73421.21021721816","12"
"10","0","40","162341.11240000007","174940.2015859777","40"
"11","1","32","268305.81639999995","229343.2137990414","32"
"12","1","26","248568.0324","150185.87317549356","26"
"10","0","41","163616.93120000002","181607.12228786355","41"
"14","1","13","125160.2356","79893.0592431454","13"
